Currency,Date,Time,Open,High,Low,Close,Volume
ZEC,2016-11-03,17:00:00,1.39000502,1.40999999,1.35,1.35500004,30.28960536
ZEC,2016-11-03,17:15:00,1.35500003,1.4,1.33800006,1.3520001,50.17926684
ZEC,2016-11-03,17:30:00,1.35200012,1.37,1.35,1.36000011,15.8222333
ZEC,2016-11-03,17:45:00,1.36000015,1.363,1.32259398,1.32547998,24.82871703
ZEC,2016-11-03,18:00:00,1.32369226,1.37296401,1.278,1.36096901,89.08231316999999
ZEC,2016-11-03,18:15:00,1.36096901,1.38001,1.327405,1.34100001,32.16227
ZEC,2016-11-03,18:30:00,1.34100001,1.38646027,1.341,1.37000001,44.28027966
ZEC,2016-11-03,18:45:00,1.37,1.38583528,1.34,1.36,39.24833396
ZEC,2016-11-03,19:00:00,1.36,1.36,1.329323,1.33003993,17.57487837
ZEC,2016-11-03,19:15:00,1.34898494,1.34898496,1.32,1.32000002,18.165363999999997
ZEC,2016-11-03,19:30:00,1.32000002,1.321,1.26,1.28899999,86.39764245
ZEC,2016-11-03,19:45:00,1.2888,1.2949999,1.2713,1.285262,32.4066383
ZEC,2016-11-03,20:00:00,1.28525212,1.292217,1.2642,1.277,35.82068271
ZEC,2016-11-03,20:15:00,1.27507,1.30333999,1.270005,1.30333999,34.97490436
ZEC,2016-11-03,20:30:00,1.30333999,1.3183005,1.30333999,1.3049201,15.217992540000001
ZEC,2016-11-03,20:45:00,1.30492011,1.31500001,1.27448177,1.29,29.130881510000002
ZEC,2016-11-03,21:00:00,1.29799999,1.308,1.28500002,1.2911,19.53267846
ZEC,2016-11-03,21:15:00,1.29110501,1.29199997,1.27007,1.275,16.06514457
ZEC,2016-11-03,21:30:00,1.274,1.3,1.2711,1.29351802,5.853032
ZEC,2016-11-03,21:45:00,1.284,1.3,1.284,1.29998493,4.08731476
ZEC,2016-11-03,22:00:00,1.29998493,1.29999248,1.2840001,1.2959999,12.52808764
ZEC,2016-11-03,22:15:00,1.2959999,1.297417,1.27601,1.283,12.187088260000001
ZEC,2016-11-03,22:30:00,1.28300001,1.287975,1.25900457,1.26600009,52.143212119999994
ZEC,2016-11-03,22:45:00,1.26600012,1.28508151,1.266,1.2839949,16.467821790000002
ZEC,2016-11-03,23:00:00,1.27656501,1.28508156,1.27000001,1.28,24.08641899
ZEC,2016-11-03,23:15:00,1.28,1.280995,1.26601703,1.26601703,26.569420209999997
ZEC,2016-11-03,23:30:00,1.26651674,1.285072,1.26000001,1.280205,18.506356049999997
ZEC,2016-11-03,23:45:00,1.28103101,1.30000501,1.27560802,1.29899998,27.150293199999997
ZEC,2016-11-04,00:00:00,1.29000002,1.29000004,1.28264892,1.28264892,7.46759242
ZEC,2016-11-04,00:15:00,1.28264892,1.29,1.271465,1.2721,13.16969491
ZEC,2016-11-04,00:30:00,1.27633323,1.2885,1.262,1.262,16.77456871
ZEC,2016-11-04,00:45:00,1.263,1.277545,1.26,1.26880995,8.18959756
ZEC,2016-11-04,01:00:00,1.26,1.26882497,1.251,1.25100002,10.10654756
ZEC,2016-11-04,01:15:00,1.25100003,1.26,1.20358094,1.22300011,79.15008767
ZEC,2016-11-04,01:30:00,1.22300011,1.22300011,1.2,1.21998999,33.6032383
ZEC,2016-11-04,01:45:00,1.21998999,1.21998999,1.201,1.201,19.315117
ZEC,2016-11-04,02:00:00,1.201,1.237263,1.201,1.22999499,29.18240659
